,Submission ID,Scores,Title,Abstract,result,mean
1010,1622,2.65    2.55    4.95    ,A Formal Analysis about the Peaky Behavior of CTC,"We provide a formal analysis of the peaky behavior
of the Connectionist temporal classification (CTC) model and its training criterion
as well as hidden Markov models (HMM) and the generalized criterion
with the full sum over all alignments where the CTC criterion is a special case of.
The analysis leads to a new understanding of the role of the blank label,
and a better understanding of the convergence behavior
with CTC and the generalized full-sum criterion
with on-the-fly realignments.
We refer to experiments in the literature which confirm our analysis,
as well as experiments on Switchboard to demonstrate
the convergence and peaky behavior.",1.0,3.383333333333333
886,1290,5    2.3    2.85    ,Urdu Speech Recognition Using Hidden Markov Models and Deep Neural Networks,"We present the first high accuracy, publicly available speech recognition system for read Urdu, a language spoken by 163 million people throughout Pakistan, India and several other countries. We compare performance of the state-of-the-art speech recognition techniques applied to a medium vocabulary (6,000 word types) read speech Urdu dataset using KALDI automatic speech recognition toolkit. Our ASR system, called Guftaar Shanaas, uses the ARL speech corpus (LDC2007S03, 200 hours, 160K speech segments) that is available publicly through Linguistic Data Consortium (LDC). We describe in detail the construction of the three basic components of a speech recognition system: an acoustic model, a language model, and a pronunciation lexicon for Urdu language. Our best model uses sequentially trained DNNs that achieve a word error rate (WER) of 1.44% using the language model based on the training transcripts of ARL speech corpus, and a WER of 13.14% using an independent language model. We have made our KALDI scripts and pipeline publicly available that can be used to regenerate all resources for Urdu ASR given a speech corpus. To our knowledge, this is the first ever effort to share sizeable and reproducible speech recognition results and resources for Urdu.",1.0,3.3833333333333333
1023,1656,3.25    3.9    2.85    3.55    ,Hypernasality Severity Analysis Using Spectral and Residual Features,"In this work, spectral and linear prediction (LP) residual characteristics of normal, mild and moderate-severe hypernasal vowel /i/ are analyzed for finding their nature in these three levels of hypernasality severity. The coupling of nasal tract with the oral tract during the production of hypernasal vowels introduces additional nasal pole-zero pair in these vowels, which deviates their spectral characteristic compared to normal vowels. Further, the inappropriate modeling of this deviated spectrum by LP model due to the presence of zeros gives the deviated residual characteristic also. The spectral and residual analysis is done using vocal tract constriction (VTC) evidence, power spectral entropy (PSE) and peak to side-lobe ratio (PSR) features. The first two features capture the spectral deviation in terms of low-frequency dominance and spectral flatness in hypernasal vowel spectrum respectively whereas the third feature capture the residual deviation in terms of presence of undesirable signal components in the residual signal. The analysis result reveals that the value of VTC evidence increases whereas the value of PSE and PSR features decreases as the severity of hypernasality increases.",1.0,3.3875
1144,1971,2.2    4.15    3.45    3.75    ,Speech Emotion Recognition of Mentally and Physically Disabled Individuals,"This report presents our participation in the Atypical Affect Sub-Challenge of the INTERSPEECH 2018 Computational Paralinguistics Challenge (ComParE 2018). The task was to recognize four emotions (neutral, happiness, sadness and anger) in the EmotAsS dataset comprised of the speech utterances of individuals with reduced capabilities. 
We obtain a score of 40.8% (unweighted accuracy) with an ensemble of two models. The first one is a neural network pretrained on the IEMOCAP dataset and fed with raw spectrograms. Its architecture is composed of four convolutional layers followed by a bidirectional long short-term memory layer. The second model is an SVM trained on the ComParE acoustic feature set.
The neural network alone performed with unweighted accuracy of 39.2%, to be compared with 28.0% of CNN+LSTM network presented in the ComParE baseline paper.
We employed several techniques to enhance performance. First, we undersampled the neutral-labeled subset and oversampled the sad- and angry-labeled subsets. We also performed data augmentation, using vocal tract length perturbation for the neural network and SMOTE for the SVM. Layer-wise learning rate adjustment was used for the neural network optimization. Finally, ensembling of the neural network with the SVM was performed with a single dense layer.",1.0,3.3875
853,1193,2.35    4.2    2.7    4.3    ,Subword-Based End to End Mixed Language Speech Recognition,"Sequence-to-sequence model with attention has recently gained a lot of interest as a potential way to simplify the process of building ASR systems.
   Some work in English speech recognition has also achieved state-of-arts result with attention-based model using subword as modeling unit while other work in Chinese speech recognition achieved promising result with attention-based model using Chinese character as modeling unit.
  These results inspire us to wonder whether it's possible to build an attention-based model that utilizes both Chinese character and English subword to deal with the problem of Chinese-English mixed speech recognition.
   In this paper, we create a novel attention-based model that uses Chinese character and English subword as modeling unit. Using this new model, we achieves a character error rate (CER) of 10.85% on our internal DidiReading testset.
  By comparison, our baseline attention based character modeling method achieves a CER of 32.41%.",1.0,3.3875
1208,2142,5.2    2.6    3.9    1.85    ,Accidentally on Purpose? Disfluencies in Stand-up Comedy,"Understanding how expert speakers structure their speech and use disfluencies can enrich speech synthesis and analysis. We propose to study the use of disfluencies in stand-up comedy, which sounds spontaneous but is structured, rehearsed and repeated. Comedians' speech often contains apparent errors and filled pauses, unlike that of actors reading from a text. Because a professional comedian touring a show provides a similar experience to every audience, deviation and disfluency between performances are unlikely to be communicative failures. 

In a case study, we compare absolute transcripts from live performances of a rehearsed show to one another and to the performer's text. Using subsequence matching on transcripts of five performances of a stand-up comedy we map consistent subsequences, revealing aspects of show structure, and identify how subsequences are broken. The results show that filled pauses occur significantly more frequently immediately before and after matching subsequences, suggesting that disfluent speech could play a structural role in stand-up comedy as well as be part of the prepared material itself.",1.0,3.3875
1174,2038,3.3    2.65    3.4    4.2    ,An Improved DNN-based Spectral Feature Mapping That Removes Noise and Reverberation for Robust Automatic Speech Recognition,"Reverberation and additive noise have detrimental effects on the performance of automatic speech recognition systems. In this paper we explore the ability of a DNN-based spectral feature mapping to remove the effects of reverberation and additive noise. Experiments with the CHiME-2 database show that this DNN can achieve an average reduction in WER of 4.5%, when compared to the baseline system, at SNRs equal to -6 dB, -3 dB, 0 dB and 3 dB, and just 0.8% at greater SNRs of 6 dB and 9 dB. These results suggest that this DNN is more effective in removing additive noise than reverberation. To improve the DNN performance, we combine it with the weighted prediction error (WPE) method that shows a complementary behavior.  While this combination provided a reduction in WER of approximately 11% when compared with the baseline, the observed improvement is not as great as that obtained using WPE alone. However, modifications to the DNN training process were applied and an average reduction in WER equal to 18.3% was achieved when compared with the baseline system. Furthermore, the improved DNN combined with WPE achieves a reduction in WER of 7.9% when compared with WPE alone.",1.0,3.3875
1185,2070,4.35    3.45    3.35    2.4    ,Auditory-visual Speech Perception in Bipolar Disorder: Lip-reading Can Stall While Integration Remains Intact,"This study preliminarily investigated how people with bipolar disorder integrate auditory and visual speech information and whether any differences existed between the manic and depressive episodes. It was predicted that bipolar groups’ auditory-visual speech integration would be less robust than that of the control group and further, the manic phase of bipolar disorder would integrate visual speech information more readily than their depressive episode counterparts. To examine these predictions, the McGurk effect paradigm was employed using auditory-visual speech (AV) as well as auditory-only (AO) and visual-only (lip-reading, VO) stimuli. Results showed that the disordered and non-disordered groups differed only VO (lip-reading) stimuli and that how auditory-visual speech integration is made by the disordered group calls for further research whereby behavioural and physiological data should be collected simultaneously.",1.0,3.3875
1152,1989,4.3    2.05    3.55    3.7    ,Effect of Spectral Resolution on Speech Perception in Cochlear Implant Simulations: a Preliminary ERP Study,"Cochlear implant (CI) has become an effective treatment solution for profound-to-severe hearing-impaired patients over the last decades. This study aimed at evaluating the effect of spectral resolution (i.e., the number of channels) on CI speech perception via vocoder simulations. While many early behavioral experiments have shown the effect of spectral resolution on speech understanding in CIs, this study objectively evaluated the effect of spectral resolution based on the acoustic change complex (ACC). Three numbers of channels (i.e., 1, 2 and 4) were used to process the vocoded stimuli, and two conditions were employed to elicit the ACC in this study. The number of channels was changed from four to two and one, yielding two conditions of 4-to-2 and 4-to-1, respectively. Experimental results showed that both conditions evoked the ACC responses, while the ACC response elicited under the 4-to-1 condition had no significant difference compared with that evoked under the 4-to-2 condition, indicating that vocoded stimuli with poor spectral resolutions may not yield notable difference in their ACC responses. These results provided neurophysiological evidence for analyzing the effect of spectral resolution on speech perception.

Index Terms: Speech perception, spectral resolution, acoustic change complex.",1.0,3.3999999999999995
866,1218,3.45    5.25    3.35    1.55    ,DNN-Based Missing Feature Reconstruction for Robust Speech Recognition,"We explicitly conduct missing feature reconstruction using a deep neural network (DNN) in this study. Towards the hypothetical scenario of two interfering speech sources, the reconstruction is established as the local regression between the reliable components and the unreliable components. After the masking-based source separation, the DNN is firstly trained via mapping from the separated speech to the source speech in the time-frequency domain. Subsequently, the masks for separation are reused to maintain the reliable components. The missing features are estimated by combining the DNN output and the separated speech. The proposed method is applicable for both the binary and the ratio masking based separation. For evaluation, three objective measures and one phoneme recognition benchmark were selected as proof of concept. The experimental results confirmed the DNN-based method's potential for robust speech recognition.",1.0,3.4
811,1092,3.45    2.7    4.1    3.35    ,Acoustic Event Detection with Sequential Attention and Soft Boundary Information,"Acoustic event detection is to perceive the surrounding auditory sound and is popularly performed by the multi-label classification based approaches. The concatenated acoustic features of consecutive frames and the hard boundary labels are adopted as the input and output respectively. However, the different input frames are treated equally and the hard boundary based outputs are error-prone. To deal with these, this paper proposes to utilize the sequential attention together with the soft boundary information. Experimental results on the latest TUT Sound Event database demonstrate the superior performance of the
proposed technique.",1.0,3.4
800,1064,4.25    2.6    4.35    2.4    ,Determining Number of Speakers from Multispeaker Speech Signals,"A new method for time delay estimation (TDE) from mixed source (speaker) signals collected at two spatially separated microphones is proposed in this paper. The key idea in this proposal is that the crosscorrelation between corresponding segments of the mixed source signals is computed using the outputs of single frequency filtering (SFF) at each frequency, rather than using the waveforms directly. The advantage of SFF output is that it will have high signal to noise regions in both time and frequency domains, and also it gives multiple evidences, one from each of the SFF output. The multiple evidences can be combined to obtain robustness in the TDE. The estimated time delays can be used to determine the number of speakers present in mixed signals. The TDE is shown to be robust against different levels of additive noise degradation, and also against different types of degradation. The results are shown for mixed speech signals collected at two spatially separated microphones in a live laboratory environment, when the mixed signals contain speech from several spatially distributed speakers.",1.0,3.4
793,1036,5.05    3.3    2.35    2.9    ,Exploring High-Definition Filters in Convolutional Neural Networks,"Triangular, overlapping Mel-scaled filters (“f-banks”) are the current standard input for acoustic models that exploit their input's time-frequency geometry, because they provide a psycho-acoustically motivated time-frequency geometry for a speech signal. F-bank coefficients are provably robust to small deformations in the scale. In this paper, we explore two ways in which filter banks can be adjusted for the purposes of speech recognition. First, triangular filters can be replaced with Gabor filters, a compactly supported filter that better localizes events in time. Second, by rearranging the order of operations in computing f-banks, features can be integrated over smaller time scales while
simultaneously providing better frequency resolution. We evaluated the effects of these filters on a modern end-to-end CNN phone recognizer. As a simple drop-in replacement, experimental filter banks produced a lower test PER than f-banks of 17.89%.",1.0,3.4
882,1278,4.15    3.3    3.25    2.9    ,Primacy of Mouth than Eyes to Perceive Audiovisual Mandarin Lexical Tones,"This study investigated Chinese and English speaker’s patterns of eye movement when they were asked to identify audiovisual Mandarin lexical tones. The Chinese and English speakers were presented a clip of Mandarin monosyllable (/ă/, /à/, /ĭ/, /ì/) in audiovisual mode and asked to identify whether the syllable was a dipping tone (/ă/, / ĭ/) or a falling tone (/ à/, /ì/). These audiovisual syllables were presented in clear, noisy and silent conditions. 
An eye-tracker recorded the participants’ eye movement. It was found that the participants gazed more at mouth than eyes and the mouth took more than 40% gaze duration at average. In addition, when the auditory information descended through three acoustic conditions, both Chinese and English speakers increased the gaze duration at mouth rather than eyes. 
The findings suggest, for audiovisual lexical tone, mouth is the primary area, not eyes. The similar eye movement patterns between Chinese and English speakers implies that mouth might play a perceptual cue relevant to articulatory than semantic information.",1.0,3.4
1220,2171,4.15    2.7    3.35    ,Time-Continuous Emotion Recognition Using Spectrogram Based CNN-RNN Modelling,"In area of speech emotion recognition, hand-engineered features are traditionally used as an input. However, it requires an additional step to extract features before the prediction and prior knowledge to select feature set. Thus, recent research has been focused on an approach that predicts emotions directly from speech signal to reduce the required efforts for the feature extraction and increase performance of emotion recognition system. Whereas this approach has been applied for prediction of categorical emotions, the study for prediction of continuous dimensional emotions is still rare. This paper presents a method for time-continuous prediction of emotions from speech using spectrogram. Proposed model comprises convolutional neural network (CNN) and Recurrent Neural Network with Long Short-Term Memory (RNN-LSTM). Hyperparameters of CNN are investigated to improve the performance of the our  model. After finding the optimal hyperparameters, the performance of the system with waveform and spectrogram as input is compared in terms of concordance correlation coefficient (CCC). Proposed method outperforms the end-to-end emotion recognition system based on waveform and provides CCC of 0.7217 predicting arousal on RECOLA database.",1.0,3.4000000000000004
1106,1874,3.5    3.45    3.4    3.3    ,Acoustic and Prosody Adaptation for Emotional Speech Synthesis,"Emotional speech synthesis is very important for conversational TTS in a natural human-computer interaction. Usually, emotion adaptation is used when limited training data are available. This paper focuses on two aspects for emotion adaptation: acoustics and prosody. For acoustic modeling, we extend our previous work on DNN based speaker adaptation to emotion adaptation and try to align it into FF-LSTM based hybrid system. In our new LSTM based emotion adaptation, we set some layers to be emotion dependent and add emotion code for controlling, which is expected to capture the characteristics of target emotion. Other layers are shared between different emotions to describe the common features across emotions. For prosody, we add stress to increase the expressivity of each emotion state. The stress prediction model is adapted to each target emotion. The experimental results show that our methods can improve the overall performance of emotional speech synthesis both objectively and subjectively. The final MOS for happy emotion is improved by about 0.29 after combining all techniques.",1.0,3.4124999999999996
849,1186,3.15    2.8    3.45    4.25    ,Rapid Speaker Adaptation for LSTM Based Acoustic Models,"To reduce the effect of mismatch between training and test data
due to speaker variability, many speaker adaptation techniques
have been proposed for acoustic modeling. In this paper, we
propose a novel approach for speaker adaptation using low footprint
control network (CN) that inserts a frame-wise speaker dependent
bias to 1st layer of the main network. We show that our
approach outperforms learning linear transform based method
when speaker data is limited. For 1.5 minutes of speaker data
from the SpeechOcean dataset, a relative improvement of 7.95%
with CN over the Speaker Independent (SI) model has been obtained
as compared to 4.72% with learning linear transform.
Also, Speaker-aware training (SAT) has been shown to normalize
speaker variability by incorporating speaker information
into the network training process. We argue that speaker adaptation
and SAT complement each other in the way they learn
speaker attributes. Our results show that speaker adaptation
over SAT model trained using multi-task learning with speaker
classification being auxiliary task significantly outperforms the
speaker adaptation on SI model. Using 3 minutes of speaker
data, a relative improvement of 15.9% in word error rate (WER)
is obtained with the proposed cascading scheme.",1.0,3.4124999999999996
958,1493,4.3    3.25    2.65    3.45    ,Dynamic OOV Registration to Language Model for Speech Recognition,"In this study we propose a method of dynamically registering
out-of-vocabulary (OOV) words by editing the pronunciation
of OOV tokens which have been added to an additional, partial copy of our corpus, 
either a) randomly, or b) to part-of-speech (POS) tags in the selected utterances, when training the language model (LM) for speech recognition. 
We also investigate the impact of acoustic complexity and the ``natural'' occurrence frequency of OOV words on registered OOV recognition. The proposed OOV word registration method was evaluated using two modern ASR systems, Julius and Kaldi, using DNN-HMM acoustic models and N-gram language models (plus an additional evaluation using
RNN re-scoring with Kaldi). Results show that with the proposed OOV registration method, modern ASR systems can recognize OOV words without re-training the language model, that the acoustic complexity of OOV words affects OOV recognition, and that differences between the ``natural'' occurrence frequency and assigned frequency of OOV words has little impact on the final recognition results.",1.0,3.4124999999999996
767,81,5.1    4.45    2.55    1.55    ,Intuitive Privacy from Acoustic Reach: a Case for Networked Voice User-Interfaces,"The effect that advances in voice interface technologies have on privacy has not yet received the attention it deserves. Systems in which multiple devices collaborate to provide a unified user-interface amplify those worries about privacy. We discuss ethical implications of voice enabled devices on privacy in typical scenarios at home, office, in a car and in the public. We conclude that people consciously control their speech volume to appropriately scale between different privacy settings. It follows that the reach of voice can be exploited as a feature to intuitively define the extent of privacy. Specifically, exactly those devices which overhear the same signal are eligible to collaborate in processing said signal in a privacy-preserving way. We argue that the proposed approach poses reasonable technological requirements and establishes a natural experience of privacy which confirms intuitive perception. The acoustic reach of speech signals can thus serve as a feature for designing privacy-gentle voice user-interfaces which are intuitive to use.",1.0,3.4125000000000005
109,1128,4.45    3.95    2    3.3    ,Linear Prediction Residual Based Short-term Cepstral Features for Replay Attacks Detection,"Modern automatic speaker verification (ASV) systems are highly vulnerable to spoof attacks, and developing ASV anti-spoofing algorithms to protect ASV systems form these attacks is currently a part of active research. Contrarily to current trends on development of stand-alone spoof detection system, this work aims detection of replay attacks directly on the ASV system. The claim made through replay spoofing trials is rejected as impostors directly by ASV system. The objective here is to model the changes in the excitation signal characteristics caused by playback devices for replay detection. Accordingly, two linear prediction (LP) residual based source features are proposed for rejecting replay spoofing trials namely, RMFCC (residual mel-frequency cepstral coefficients) and LPRHEMFCC (LP residual Hilbert envelope MFCC). A comparative analysis between these two source features has been performed through speaker verification experiments to evaluate their effectiveness for ASV anti-spoofing applications. The comparison between the two has been made in the form of (source feature + MFCC) combination. The experiments are conducted using self-developed IITG-MV replay database. From the experimental results, it has been observed that `LPRHEMFCC+MFCC' combination outperforms `RMFCC+MFCC' combination, under replay attacks. Finally, the experiments are repeated on ASVspoof2017 database to validate the efficacy of proposed work.",0.0,3.425
1000,1596,3.5    1.75    3.6    4.85    ,Computer-aided High Variability Phonetic Training and Its Application to Improve Robustness of Learners’ Listening Comprehension,"When a speaker speaks and a listener listens to that speaker, extra-linguistic 
or environmental factors often degrade the quality of speech. This degradation,
very common in our daily life, is always troublesome to non-native listeners.
To improve learners' robustness in listening, high-variability phonetic training
was introduced, where acoustic variability is manually or technically added to
listening materials. In this paper, advanced speech technologies are used
to prepare new acoustic variability for materials. Listening tests with new variability
are carried out to Japanese learners of English and it is found that they have singular
weakness in listening when radio communication distortion is simulated, although
native listeners can perfectly comprehend those distorted materials. Then, a simple listening
drill for speech samples with different levels of radio communication distortion is prepared
and imposed on those learners. Post-tests show that robustness of listening comprehension is
significantly improved in the case of advanced learners, and that improvement is transferred
to materials with other distortions.",1.0,3.425
1062,1758,3.3    4.2    3.4    2.8    ,A Novel Unified Framework for Speech Enhancement and Bandwidth Extension Based on Jointly Trained Neural Networks,"In this paper, we propose a unified framework for speech enhancement and bandwidth extension. The speech bandwidth extension (BWE) is investigated in noisy environment. Firstly, a Bidirectional Long Short-Term Memory Recurrent Neural Networks (BLSTM-RNN) is trained to map the noisy to clean speech features. Secondly, the BWE is also a BLSTM-RNN model. The feature enhancement neural network serves as a noise normalization module which aimed at explicitly generating the clean features which are easier to BWE by the following neural network. We combined Griffin-Lim algorithm with proposed jointly model to reconstruct wideband speech. To reduce the size of model while maintaining a similar performance, multi-task transfer learning solution is proposed. Experimental results demonstrate that the proposed framework can achieve significant improvements in both objective and subjective measures over the different baseline methods.",1.0,3.425
1327,2594,4.1    2.55    2.75    4.3    ,Production and Perception of English Lexical Stress by Native Speakers of Uyghur,"Previous studies show that language differences cause corresponding influences on second language acquisition. By comparing the production and perception of English stress by native Uyghur speakers with that by native American English speakers, this study examines whether acoustic features, stress positions, and schwa affect stress acquisition, and the relationship between stress production and perception.
Twenty adult subjects (gender balanced) participate in stress production and perception experiments whose stimuli are disyllabic pseudo-words. By analyzing 1,800 recordings from the stress production experiment and 3,600 responses from the perception experiment, this study finds out that: (1) the American group outperforms the Uyghur group in lexical stress production with a higher accuracy rate and wider ranges of acoustic features(F0, intensity, and duration), and in lexical stress perception with a higher accuracy rate and shorter response time; (2) stress positions do affect the realization of lexical stress: by widening the range of acoustic features in initial stress and by narrowing the range in final stress; (3) schwa helps improve accuracy rate of initial stress perception of NSU; (4) a positive correlation between stress perception and production is observed in the Uyghur group.",1.0,3.425
1017,1641,3.5    4.15    2.55    3.5    ,Combining De-noising Auto-encoder and Recurrent Neural Networks in End-to-end Automatic Speech Recognition for Noise Robustness,"In this paper, we propose an end-to-end noise-robust automatic speech recognition system through deep-learning implementation of de-noising auto-encoders and recurrent neural networks. We use batch normalization and a novel design for the front-end de-noising auto-encoder, which mimics a two-stage prediction of a single-frame clean feature vector from multi-frame noisy feature vectors. For the back-end word recognition, we use an end-to-end system based on bidirectional recurrent neural network with long short-term memory cells. The LSTM-BiRNN is trained via connectionist temporal classification criterion. Its performance is compared to a baseline back-end based on hidden Markov models and Gaussian mixture models (HMM-GMM). Our experimental results show that the proposed novel front-end de-noising auto-encoder outperforms the best record we can find for the Aurora 2.0 clean-condition training tasks by an absolute improvement of 1.2% (6.0% vs. 7.2%). In addition, the proposed end-to-end back-end architecture is as good as the traditional HMM-GMM back-end recognizer.",1.0,3.425
819,1118,4.25    2.7    4.35    2.45    ,Feature Combination through a Hybrid CNN/DNN Acoustic Model to Address Tonal Contrasts for a Low-resource Language: YoloxóChitl Mixtec,"This paper focuses on the development of an automatic speech recognition system (ASR) for Yoloxóchitl Mixtec (YM), an Oto-Manguean language spoken by fewer than 5000 speakers in the state of Guerrero, Mexico. Even for a language family characterized by complex tonal inventories, YM has a challenging system with nine basic tones (four level tones, three rising tones, two falling tones) and several other more complex ones. Up to 21 pitch-level contrasts to represent phonemic distinctions have been documented on a single bimoraic/bisyllabic sequence of phones. Apart from phone confusability, a considerable amount of confusion between tone levels exists, leading to a baseline ASR word error rate (WER) of 32%. This paper proposes tone-discriminative features to reduce tone confusions in the ASR system. The tone-discriminative bottleneck features were extracted from a deep neural network with a bottleneck layer trained with gammatone filterbank energies fused with pitch and voicing features as inputs and tone levels as outputs. The tone-discriminative features are fused with speaker-adapted gammatone filterbank features through a hybrid convolutional and deep neural network (CNN-DNN) architecture. The combination of speaker-adapted gammatone filterbank features along with tone-discriminative features provided a relative improvement in WER of 12% over the baseline system.",1.0,3.4375
1217,2164,2.5    5.05    2.7    3.5    ,Glottalization and Diphthongization of Long Vowels in West-Frisian,"This paper presents the results of an acoustic and articulatory study of long vowels in West-Frisian. Although the language is described as having long vowels, the auditory perception of these sounds suggests that they are produced in two phases. Most of the time a modal vowel followed by a creaky vowel [eḛ] or sometimes two vowels separated by a glottal stricture [eʔe] (pressed voiced) quality. These observations are confirmed by EGG data and open quotient measurements. Acoustic measurements (F-pattern) made on the two phases of the long vowels show that they are often realized as diphthongs. In this case they are realized by two vowels of two close vowels qualities ([ɔɑ̰, aɑ̰, eḭ]. Results allow discussing the possible causes of diphthongization in West-Frisian and its socio-phonetic aspects.",1.0,3.4375
1180,2050,2.45    2.75    5.1    3.45    ,Inverse Filtering Based Feature for Analysis of Vowel Nasalization,"Vowel nasalization is present in almost every language and it has significant clinical information as well as speaker information. Researchers have analysed spectral domain characteristics of vowel nasalization and proposed some acoustic parameters for detection of nasalized vowels. In this work we have used an inverse filtering based technique to find out a new feature, which represents the amount of nasalization present in a vowel. The invariability of nasal filter for different nasalized vowels and addition of oral and nasal speech after radiation has been exploited to find out this feature. As the feature gives information about the amount of nasalization, this can be used for detection of vowel nasalization as well as for clinical purposes. Statistical analysis of the feature has been done in this work. The statistical analysis shows that, the feature has good separability for oral vowel and nasalized vowel.",1.0,3.4375
1156,1996,4.2    3.1    3.15    3.3    ,Predicting and Generating Backchannels for a Task-oriented Dialog System Driving a Neuro-psychological Test,"Verbal backchannels performed by conversational agents im-
prove the quality of human-computer interaction. Most of
previous research used statistical models to predict and gen-
erate backchannels from produced and perceived audiovisual
features. This paper presents a backchannel predictor based
on a Long-Short Term Memory (LSTM) recurrent neural net-
work. Training and test data have been collected during inter-
views conducted by a professional neuropsychologist. The pro-
posed system aims at complementing a spoken dialog system
with automatic generation of backchannels during active listen-
ing of the speaker’s interventions: the challenge is to predict
backchannels utterered by the interviewer given parts of speech
uttered by both the subject and the interviewer. F1-measures of
back-channels opportunities are computed to compare the pro-
posed predictor with a baseline model using Conditional Ran-
dom Fields (CRF). Subjective ratings of the effective genera-
tions of verbal backchannels are also performed. The LSTM
model outperforms the state-of-the-art model both in terms of
prediction accuracy, alignment with speech turns and subjective
ratings by third parties.",1.0,3.4375
248,1379,3.9    3.3    4.9    1.65    ,A New Deep Reinforcement Learning Based Coaching Model (DCM) for Slot Filling in Spoken Language Understanding,"In this paper, a deep reinforcement learning(DRL) based multimodal coaching model (DCM) for slot filling in SLU is proposed. This new model functions as a coach to help an RNN based tagger to learn the wrong labeled slots , hence may further improve the performance of an SLU system. Besides, users can also coach the model by correcting its mistakes, and help it progress further. The performance of DCM is evaluated on two datasets: one is the benchmark ATIS corpus dataset, another is our in-house dataset with three different domains. It shows that the new system gives a better performance than the current state-of-the-art results on ATIS by using DCM. Furthermore, we build a demo app to further explain how user's input can also be used as a real-time coach to improve model's performance even more.",0.0,3.4375
1066,1765,3.65    2.6    4.2    3.3    ,Optimizing DPGMM Clustering in Zero Resource Setting Based on Functional Load,"Inspired by the infant language acquisition, unsupervised sub-word discovery of the zero resource language gains attention recently. The problem also serves as the basis of developing a universal speech recognition system for a completely unknown language.  One of the methods to tackle the problem is using an unsupervised clustering algorithm to recover the discrete phone-like units from the speech, such as the Dirichlet Process Gaussian Mixture Model (DPGMM), which currently achieves the top results in the Zero Resource Speech Challenge. However, the DPGMM model is too sensitive to the acoustic variation and often produces too many types of sub-word units. This paper proposes to apply a functional load to reduce the size of sub-word units from DPGMM. The functional load is the measurement of how much information in communication is conveyed by contrasts of these units. Then, the aim is to ignore the contrasts of the sub-word units that contribute little in conveying the information of the speech leading to decrease the number of sub-word classes. We experiment on the official setting of Zerospeech 2015 and measure the performance in terms of the error rate using ABX discrimination test.",1.0,3.4375
979,1540,2.3    2.6    4.9    3.95    ,Multi-dimensional Speaker Information Recognition with Multi-task Neural Network,"This paper proposes a novel approach to simultaneously estimate speaker identity and the other two traits of the speaker, specifically, emotion and gender. This simultaneous process is named as multi-dimensional speaker information recognition. We choose i-vector to represent the utterance with different duration as fixed length vector. In our paper, we first build individual neural networks (NN) for each single recognition task. In this single task, the input is i-vector of one speaker and the output is the corresponding one-hot vector. We then design a multi-task learning (MTL), the difference with the single task is the NN output, which contains three parallel one-hot vectors for MTL. The one-hot vectors denote the identity, emotion and gender information, respectively. The proposed approach is conducted on the KSU-Emotions corpus, which was recorded mainly for emotional recognition. Experimental results show that the best multi-task mechanism recognition accuracy is 5.09% better than the single task.",1.0,3.4375
1034,1681,5.15    2.15    3.3    3.15    ,Projection of the End of Utterance Based on Combinations of Prosodic Features and Phrase-Dependency for Spontaneous Japanese,"This study is aimed at revealing a clue for projecting the end-of-utterance in spontaneous Japanese speech. In casual everyday conversation, participants must predict the ends of utterances of a speaker to perform smooth turn-taking with small gap or overlap. We consider that syntactic and prosodic factors project the end of an utterance of speech and the participants utilize the factors to predict the end-of-utterance. In this paper, we focused on dependency structure among bunsetsu-phrases as a syntactic feature and F0, intensity and mora duration for bunsetsu-phrases as prosodic features. We investigated the relationship between a bunsetsu-phrase position in an utterance and the features. The results showed that the single feature could not be an authoritative clue that determines the position of the bunsetsu-phrases. Next, we constructed a Bayesian hierarchical model to estimate the bunsetsu-phrase position from the syntactic and prosodic features. From results of the model, prosodic features vary in usefulness according to the speakers. These suggest that the different combinations of the syntactic and prosodic features for each speaker are relevant to project the ends of the utterances.",1.0,3.4375000000000004
984,1560,3.35    3.55    4.2    2.65    ,Novel Metric Learning for Alignment Task in Voice Conversion,"The significance of an accurate alignment on a quality of converted voice via Voice Conversion (VC) is not much explored. Unsupervised alignment algorithm, namely, an Iterative combination of a Nearest Neighbor search step and a Conversion step Alignment (INCA) iteratively tries to align the spectral features by minimizing the Euclidean distance metric between the intermediate converted and the target spectral feature vectors. However, the Euclidean distance may not correlate well with the perceptual distance between the two (sound or visual) patterns in a feature space. In this paper, we propose to learn distance metric using Large Margin Nearest Neighbor (LMNN) technique that gives a minimum distance for the same phoneme uttered by the different speakers and more distance for the different set of phonemes. This learned metric is then used for finding the NN pairs in the INCA. Furthermore, we propose to use this learned metric only for the first iteration in the INCA, since the intermediate converted features (which are not the actual acoustic features) may not behave well w.r.t. the learned metric. We obtained on an average 1.93 \% absolute increment in \% Phonetic Accuracy (PA). This is positively reflected in the analysis of subjective and objective evaluations.",1.0,3.4375000000000004
